SampleID;Transect;TransectX;x;Random;St_Larvae;YesNo;Depth;Depth_Bin;Velocity;VelocityBin;Froude;PhotoID;NCoverCL;Richness;Sper;SDI;TransectGroup;TGr;CoverCL;Cover_Class;Isonychiidae;Heptaginiidae;Perlidae;Perlodidae;Crayfish;Baetidae;Ephemerellidae;Hydropsychidae;Coenagrionidae;Gomphidae;Amphipoda;Lepidostomatidae;Thaumaleidae;Helicopsychidae;Chironomidae;Leptoceridae;Aeshnidae;Phryganeidae;Psephenidae;Elmidae;Athericidae;Philopotamidae;Brachycentridae;Caliopterygidae;Corydalidae;Diptera_sp;Glossosomatidae;Limnephilidae;Empididae;Pyralidae;Polycentropodidae;Simuliidae;Leptophlebiidae;Baetiscidae;Hydrophilidae;Annelida;Tabanidae;Odontoceridae;Ntot;EPTrichness;EPTN;SmoothBedrock;Fine;FMGravel;CoarseGravel;VeryCGravel;SmallCobble;LargeCobble;SAV;WoodDebris;InterSpace;Mussels;SubInd;Avg_Rock_Size;Med_Rock_Size;med_RS;Coeff_Var;Hyd;Lep;Eph;Hep;Elm;Iso;Bae;Bra;Gom;Chi
TS82;41,2;41;800;8;0;No;0,54;0,51-0,75;1,01;1,0-1,25;0,438823614;2961;5;14;0,37;2,343;Nine;9;Two;2;3;7;1;0;0;5;6;7;0;1;0;0;0;2;0;0;0;0;0;10;0;0;3;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;50;11;37;0;0,3858;0,2709;0,1458;0,1736;0;0;0;0;0;0,024;0,03838;4,93;3,53;3,53;1,079614933;1;0;1;1;1;1;1;1;1;0
TS83;42,1;42;820;15;0;No;0,36;0-0,5;0,58;0,51-0,75;0,308632914;2962;6;6;0,16;1,696;Nine;9;Six;6;1;2;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;7;0;0,2656;0,2126;0,1857;0,322;0;0;0;0;0;0,0142;0,041857;12,7;9,32;9,32;0,746599557;0;0;1;1;1;1;1;0;0;1
TS84;42,2;42;820;11;0;No;0,52;0,51-0,75;0,72;0,51-0,75;0,318783857;2963;6;6;0,16;1,242;Nine;9;Two;2;0;11;0;0;0;0;3;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;16;0;0,3282;0,2125;0,173;0,1883;0,0911;0;0;0;0;0,007;0,041877;11,82;8,37;8,365;0,935382308;0;0;1;1;0;0;0;1;1;1
TS85;43,1;43;840;12;0;No;0,68;0,51-0,75;0,55;0,51-0,75;0,21294808;2964;5;11;0,29;2,118;Nine;9;Two;2;2;2;0;0;0;0;8;2;0;1;0;1;1;4;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;26;6;19;0;0,3209;0,132;0,2124;0,179;0,1508;0;0;0;0;0,0049;0,043525;12,97;9,19;9,19;0,840987345;1;1;1;1;1;1;0;0;1;0
TS86;43,2;43;840;5;0;No;0,64;0,51-0,75;0,51;0,51-0,75;0,203538086;2965;4;5;0,13;1,395;Nine;9;Four;4;0;2;0;0;0;0;7;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;3;12;0;0,26;0,3493;0,2789;0;0,1032;0;0;0;0;0,0085;0,041909;10,38;7,85;7,845;0,704835356;1;0;1;1;0;0;0;0;1;0
TS87;44,1;44;860;10;0;No;0,6;0,51-0,75;0,59;0,51-0,75;0,243187855;2966;4;9;0,24;2,098;Nine;9;Four;4;0;0;0;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;3;13;3;6;0;0,2511;0,5592;0,1896;0;0;0;0;0;0;0;0,039381;6,14;4,95;4,945;0,653231606;0;1;1;0;1;0;0;0;1;1
TS88;44,2;44;860;7;0;No;0,72;0,51-0,75;0,44;0,25-0,5;0,165558668;2967;5;9;0,24;1,872;Nine;9;Six;6;1;3;0;0;0;0;8;0;0;1;0;0;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;21;5;16;0;0,0863;0,1298;0,2538;0,5301;0;0;0;0;0;0;0,046976;17,88;14,01;14,01;0,76154912;0;0;1;1;1;1;0;0;1;1
TS89;45,1;45;880;8;0;No;0,46;0-0,5;0,55;0,51-0,75;0,258910265;2968;5;7;0,18;1,887;Nine;9;Six;6;1;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;7;0;0,0598;0,1034;0,2871;0,3872;0,1625;0;0;0;0;0;0,049395;21,18;16,97;16,9725;0,705309724;1;0;1;1;1;1;1;0;0;0
TS90;45,2;45;880;7;0;No;0,66;0,51-0,75;0,73;0,51-0,75;0,286890646;2969;6;7;0,18;1,719;Nine;9;Seven;7;0;3;0;0;0;1;7;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;18;5;14;0;0,1234;0,0827;0,2179;0,2236;0,3524;0;0;0;0;0;0,050229;19,58;13,63;13,63;0,902137348;1;0;1;1;0;0;1;1;1;0
TS91;46,1;46;900;9;0;No;0,62;0,51-0,75;0,76;0,75-1,0;0,308164952;2971;2;5;0,13;1,296;Ten;10;Seven;7;0;5;0;0;1;0;11;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;3;22;0;0,2337;0,0327;0,0443;0,0721;0,5576;0;0;0,0596;0;0;0,047595;23,21;10,76;10,755;1,270257249;1;0;1;1;0;0;0;0;0;0
